DefaultSPUId,DefaultGenusId,A,B,a_nonmerch,b_nonmerch,k_nonmerch,cap_nonmerch,a_sap,b_sap,k_sap,cap_sap,a1,a2,a3,b1,b2,b3,c1,c2,c3,min_volume,max_volume,low_stemwood_prop,high_stemwood_prop,low_stembark_prop,high_stembark_prop,low_branches_prop,high_branches_prop,low_foliage_prop,high_foliage_prop
11,8,0.98036,0.82877,6.4684,-0.80231,0.86785,2.6746,0,0,1,1,-1.84901,-0.0003634,0.01485,-1.07498,-0.0001929,-0.08465,-1.12968,-0.000406,-0.15836,0.24,543.3,0.586,0.70543,0.09452,0.10009,0.17383,0.12713,0.14565,0.06736
11,9,1.00033,0.83529,17.3589,-1.11634,0.9448,3.5649,0,0,1,1,-1.3608,0.0001299,-0.05881,-1.77352,7.26e-05,0.07091,-2.75892,-0.001195,0.02639,0.43,552.84,0.67124,0.66432,0.15585,0.1262,0.12846,0.1838,0.04445,0.02569
11,10,1.07259,0.87056,10.5609,-1.03465,0.95057,2.4107,0,0,1,1,-1.78565,-0.000254,-0.01316,-1.24117,0.0004374,0.00471,-2.51999,-0.001998,0.01144,0.33,416.76,0.65047,0.65203,0.10669,0.09083,0.18953,0.23268,0.05331,0.02445
11,11,0.73964,0.96686,9.8678,-1.05731,0.96981,2.2549,0,0,1,1,-1.53638,0.0003581,-0.11258,-1.36005,-0.0010769,0.05662,-2.30141,-0.002153,-0.08574,0.27,637.21,0.64636,0.75104,0.11535,0.09805,0.1822,0.13995,0.05608,0.01096
11,12,1.1813,0.87503,26.0581,-1.28915,0.97996,2.2275,0,0,1,1,-2.25246,-0.0007354,0.02667,-2.04027,-0.0012465,0.19988,-1.70938,-0.002484,-0.21174,0.34,386.17,0.70504,0.72607,0.07749,0.06738,0.12805,0.19232,0.08942,0.01423
11,13,1.09126,0.87747,12.9014,-1.09937,0.96569,2.5045,0,0,1,1,-1.53309,0.0004838,-0.10021,-1.51436,-0.0010555,0.09021,-2.16807,-0.001592,-0.13189,0.27,637.21,0.65357,0.72857,0.11945,0.11199,0.16696,0.14655,0.06002,0.01289
12,1,0.97767,0.85915,14.3187,-1.10845,0.94598,3.0706,0,0,1,1,-1.78887,-0.0001784,-0.02176,-1.1854,0.001093,-0.12718,-0.45509,0.000717,-0.35473,0.35,342.15,0.56877,0.68902,0.09166,0.0954,0.14049,0.14546,0.19908,0.07012
12,2,1.00805,0.84008,13.9011,-1.24874,1.0135,2.6358,0,0,1,1,-1.70125,7.47e-05,-0.03892,-1.92985,-0.0002898,0.08783,-1.21045,0.000391,-0.23575,2.66,544.47,0.65501,0.69072,0.11043,0.10268,0.11362,0.14904,0.12094,0.05756
12,3,0.90552,0.86962,6.4486,-0.66579,0.72693,2.8553,0,0,1,1,-1.63703,-4.62E-05,-0.03708,-1.47443,0.0006221,-0.03396,-1.1971,-0.000277,-0.17452,0.42,301.24,0.61583,0.67348,0.11253,0.10451,0.13314,0.15309,0.13849,0.06892
12,4,1.07579,0.84146,5.175,-0.45715,0.41741,4.0226,0,0,1,1,-1.45191,0.0004431,-0.09132,-1.36902,-0.000232,0.00728,-1.57557,-5.60E-05,-0.1463,1.76,460.5,0.62073,0.67341,0.12215,0.11034,0.16003,0.16097,0.09709,0.05527
