DefaultSPUId,DefaultSpeciesTypeId,A,B,a_nonmerch,b_nonmerch,k_nonmerch,cap_nonmerch,a_sap,b_sap,k_sap,cap_sap,a1,a2,a3,b1,b2,b3,c1,c2,c3,min_volume,max_volume,low_stemwood_prop,high_stemwood_prop,low_stembark_prop,high_stembark_prop,low_branches_prop,high_branches_prop,low_foliage_prop,high_foliage_prop
5,109,0.7232,0.94657,20.5125,-0.94943,0.79683,5.7138,0,0,1,1,-0.74339,0.000828,-0.19731,-1.3876,-0.00133,0.0986,-1.7342,-0.00066,-0.16303,0.907,305.72,0.56678,0.64632,0.18997,0.12756,0.16839,0.18949,0.07486,0.03664
5,117,0.7232,0.94657,3.1677,-0.60298,0.86675,1.5848,0,0,1,1,-0.74339,0.000828,-0.19731,-1.3876,-0.00133,0.0986,-1.7342,-0.00066,-0.16303,0.907,305.72,0.56678,0.64632,0.18997,0.12756,0.16839,0.18949,0.07486,0.03664
5,122,0.797,0.93651,100,-2.9012,1.06684,1.0845,0,0,1,1,-3.05371,-0.003057,0.3536,-0.41397,-0.00035,-0.1197,-4.3369,-0.00436,0.54629,33.978,310.62,0.60237,0.65959,0.09355,0.09212,0.25383,0.19662,0.05025,0.05168
5,131,1.7527,0.68744,46.2263,-1.42923,0.94517,2.801,0,0,1,1,-1.07048,-0.000431,-0.17344,-1.02771,-7.00E-05,0.0152,-1.9841,-0.00133,-0.10936,0.292,652.11,0.57527,0.67182,0.14771,0.05645,0.21112,0.2527,0.0659,0.01903
5,134,0.418,1.06188,46.2263,-1.42923,0.94517,2.801,0,0,1,1,-1.07048,-0.000431,-0.17344,-1.02771,-7.00E-05,0.0152,-1.9841,-0.00133,-0.10936,0.292,652.11,0.57527,0.67182,0.14771,0.05645,0.21112,0.2527,0.0659,0.01903
5,143,0.5517,1.0191,100,-1.95427,1.03863,1.0873,0,0,1,1,-2.07902,-0.000377,0.02564,-0.6208,-0.00114,-0.08016,-2.2416,-0.00287,-0.00673,0.996,312.37,0.58799,0.71013,0.07696,0.09149,0.27348,0.16872,0.06157,0.02965
5,145,0.5517,1.0191,100,-1.95427,1.03863,1.0873,0,0,1,1,-2.07902,-0.000377,0.02564,-0.6208,-0.00114,-0.08016,-2.2416,-0.00287,-0.00673,0.996,312.37,0.58799,0.71013,0.07696,0.09149,0.27348,0.16872,0.06157,0.02965
5,169,0.4596,1.06025,20.5125,-0.94943,0.79683,5.7138,0,0,1,1,-1.07048,-0.000431,-0.17344,-1.02771,-7.00E-05,0.0152,-1.9841,-0.00133,-0.10936,0.292,652.11,0.57527,0.67182,0.14771,0.05645,0.21112,0.2527,0.0659,0.01903
5,170,0.4602,1.00503,10.5506,-0.68295,0.6479,4.546,0,0,1,1,-1.10872,-0.000336,-0.07683,-1.24138,-4.00E-05,-0.01811,-2.1116,-0.00033,-0.12419,0.323,532.21,0.59921,0.68054,0.17387,0.11586,0.16799,0.17199,0.05892,0.03162
5,171,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0.5373,0.96691,6.3456,-0.96325,0.94668,2.5803,0,0,1,1,-1.47142,0.00043,-0.10181,0.14948,-0.00024,-0.24478,0.7611,-0.00343,-0.35562,0.35,274.49,0.31833,0.65268,0.06163,0.09504,0.24517,0.17883,0.37486,0.07345
6,3,0.4164,1.00202,8.7808,-1.08116,0.97859,3.1605,0,0,1,1,-0.05468,-0.000116,-0.31084,-1.44467,0.00128,-0.08842,-0.4287,-0.00062,-0.27439,4.668,239.05,0.4975,0.67218,0.23256,0.1121,0.09657,0.13225,0.17337,0.08347
6,6,0.5589,0.95326,4.8019,-0.61954,0.71869,3.7192,0,0,1,1,-0.96703,0.000915,-0.22703,0.31463,0.00161,-0.36715,1.6535,0.00288,-0.76786,1.16,353.65,0.30732,0.63467,0.07741,0.08773,0.21635,0.17714,0.39891,0.10046
